master_id,master_fileID,slave_id,slave_fileID,delta_days,track
S1A_IW_SLC__1SDV_20230129T214940_20230129T215007_047004_05A35E_0805,S1A_IW_SLC__1SDV_20230129T214940_20230129T215007_047004_05A35E_0805-SLC,S1A_IW_SLC__1SDV_20230210T215004_20230210T215031_047179_05A92D_DECC,S1A_IW_SLC__1SDV_20230210T215004_20230210T215031_047179_05A92D_DECC-SLC,12,32
S1A_IW_SLC__1SDV_20230129T215004_20230129T215031_047004_05A35E_BC41,S1A_IW_SLC__1SDV_20230129T215004_20230129T215031_047004_05A35E_BC41-SLC,S1A_IW_SLC__1SDV_20230210T215004_20230210T215031_047179_05A92D_DECC,S1A_IW_SLC__1SDV_20230210T215004_20230210T215031_047179_05A92D_DECC-SLC,12,32
S1A_IW_SLC__1SDV_20230129T215029_20230129T215056_047004_05A35E_6B99,S1A_IW_SLC__1SDV_20230129T215029_20230129T215056_047004_05A35E_6B99-SLC,S1A_IW_SLC__1SDV_20230210T215029_20230210T215055_047179_05A92D_6993,S1A_IW_SLC__1SDV_20230210T215029_20230210T215055_047179_05A92D_6993-SLC,12,32
S1A_IW_SLC__1SDV_20230129T215054_20230129T215122_047004_05A35E_CEED,S1A_IW_SLC__1SDV_20230129T215054_20230129T215122_047004_05A35E_CEED-SLC,S1A_IW_SLC__1SDV_20230210T215119_20230210T215146_047179_05A92D_EC03,S1A_IW_SLC__1SDV_20230210T215119_20230210T215146_047179_05A92D_EC03-SLC,12,32
S1A_IW_SLC__1SDV_20230129T215120_20230129T215147_047004_05A35E_7391,S1A_IW_SLC__1SDV_20230129T215120_20230129T215147_047004_05A35E_7391-SLC,S1A_IW_SLC__1SDV_20230210T215144_20230210T215211_047179_05A92D_2E85,S1A_IW_SLC__1SDV_20230210T215144_20230210T215211_047179_05A92D_2E85-SLC,12,32
S1A_IW_SLC__1SDV_20230129T215145_20230129T215212_047004_05A35E_226B,S1A_IW_SLC__1SDV_20230129T215145_20230129T215212_047004_05A35E_226B-SLC,S1A_IW_SLC__1SDV_20230210T215209_20230210T215236_047179_05A92D_C2F7,S1A_IW_SLC__1SDV_20230210T215209_20230210T215236_047179_05A92D_C2F7-SLC,12,32
S1A_IW_SLC__1SDV_20230129T215209_20230129T215236_047004_05A35E_FF58,S1A_IW_SLC__1SDV_20230129T215209_20230129T215236_047004_05A35E_FF58-SLC,S1A_IW_SLC__1SDV_20230210T215209_20230210T215236_047179_05A92D_C2F7,S1A_IW_SLC__1SDV_20230210T215209_20230210T215236_047179_05A92D_C2F7-SLC,12,32
S1A_IW_SLC__1SDV_20230129T215234_20230129T215301_047004_05A35E_15AE,S1A_IW_SLC__1SDV_20230129T215234_20230129T215301_047004_05A35E_15AE-SLC,S1A_IW_SLC__1SDV_20230222T214913_20230222T214940_047354_05AF26_00E0,S1A_IW_SLC__1SDV_20230222T214913_20230222T214940_047354_05AF26_00E0-SLC,23,32
S1A_IW_SLC__1SDV_20230210T214914_20230210T214941_047179_05A92D_5F67,S1A_IW_SLC__1SDV_20230210T214914_20230210T214941_047179_05A92D_5F67-SLC,S1A_IW_SLC__1SDV_20230222T214938_20230222T215005_047354_05AF26_47AE,S1A_IW_SLC__1SDV_20230222T214938_20230222T215005_047354_05AF26_47AE-SLC,12,32
S1A_IW_SLC__1SDV_20230210T214939_20230210T215006_047179_05A92D_748B,S1A_IW_SLC__1SDV_20230210T214939_20230210T215006_047179_05A92D_748B-SLC,S1A_IW_SLC__1SDV_20230222T215003_20230222T215030_047354_05AF26_0785,S1A_IW_SLC__1SDV_20230222T215003_20230222T215030_047354_05AF26_0785-SLC,12,32
S1A_IW_SLC__1SDV_20230210T215004_20230210T215031_047179_05A92D_DECC,S1A_IW_SLC__1SDV_20230210T215004_20230210T215031_047179_05A92D_DECC-SLC,S1A_IW_SLC__1SDV_20230222T215028_20230222T215055_047354_05AF26_7B49,S1A_IW_SLC__1SDV_20230222T215028_20230222T215055_047354_05AF26_7B49-SLC,12,32
S1A_IW_SLC__1SDV_20230210T215029_20230210T215055_047179_05A92D_6993,S1A_IW_SLC__1SDV_20230210T215029_20230210T215055_047179_05A92D_6993-SLC,S1A_IW_SLC__1SDV_20230222T215053_20230222T215121_047354_05AF26_D646,S1A_IW_SLC__1SDV_20230222T215053_20230222T215121_047354_05AF26_D646-SLC,12,32
S1A_IW_SLC__1SDV_20230210T215053_20230210T215121_047179_05A92D_D0CF,S1A_IW_SLC__1SDV_20230210T215053_20230210T215121_047179_05A92D_D0CF-SLC,S1A_IW_SLC__1SDV_20230222T215053_20230222T215121_047354_05AF26_D646,S1A_IW_SLC__1SDV_20230222T215053_20230222T215121_047354_05AF26_D646-SLC,12,32
S1A_IW_SLC__1SDV_20230210T215119_20230210T215146_047179_05A92D_EC03,S1A_IW_SLC__1SDV_20230210T215119_20230210T215146_047179_05A92D_EC03-SLC,S1A_IW_SLC__1SDV_20230222T215143_20230222T215210_047354_05AF26_40E5,S1A_IW_SLC__1SDV_20230222T215143_20230222T215210_047354_05AF26_40E5-SLC,12,32
S1A_IW_SLC__1SDV_20230210T215144_20230210T215211_047179_05A92D_2E85,S1A_IW_SLC__1SDV_20230210T215144_20230210T215211_047179_05A92D_2E85-SLC,S1A_IW_SLC__1SDV_20230222T215208_20230222T215235_047354_05AF26_2C37,S1A_IW_SLC__1SDV_20230222T215208_20230222T215235_047354_05AF26_2C37-SLC,12,32
